iter	Passed	Remaining
630	7823	4574
631	7835	4562
632	7847	4550
633	7860	4537
634	7872	4525
635	7885	4513
636	7898	4500
637	7911	4488
638	7923	4476
639	7936	4464
640	7949	4452
641	7963	4440
642	7975	4428
643	7987	4415
644	8000	4403
645	8012	4390
646	8024	4378
647	8037	4365
648	8049	4353
649	8061	4340
650	8072	4327
651	8084	4314
652	8096	4302
653	8108	4289
654	8123	4278
655	8141	4269
656	8154	4257
657	8167	4245
658	8180	4232
659	8193	4221
660	8206	4208
661	8217	4195
662	8232	4184
663	8247	4173
664	8261	4162
665	8273	4149
666	8285	4136
667	8298	4124
668	8310	4111
669	8321	4098
670	8334	4086
671	8346	4074
672	8359	4061
673	8371	4049
674	8383	4036
675	8396	4024
676	8408	4011
677	8421	3999
678	8434	3987
679	8448	3975
680	8461	3963
681	8473	3951
682	8485	3938
683	8498	3926
684	8511	3913
685	8523	3901
686	8535	3888
687	8548	3876
688	8561	3864
689	8574	3852
690	8586	3839
691	8598	3827
692	8611	3814
693	8623	3802
694	8634	3789
695	8647	3777
696	8660	3764
697	8672	3752
698	8684	3739
699	8697	3727
700	8712	3716
701	8725	3703
702	8739	3692
703	8752	3679
704	8764	3667
705	8776	3654
706	8789	3642
707	8803	3630
708	8816	3618
709	8830	3606
710	8844	3594
711	8856	3582
712	8869	3570
713	8881	3557
714	8893	3545
715	8906	3532
716	8918	3520
717	8930	3507
718	8942	3494
719	8953	3481
720	8964	3468
721	8976	3456
722	8989	3444
723	9002	3431
724	9018	3420
725	9032	3409
726	9046	3397
727	9059	3384
728	9072	3372
729	9085	3360
730	9101	3349
731	9115	3337
732	9129	3325
733	9142	3313
734	9155	3300
735	9167	3288
736	9178	3275
737	9190	3262
738	9203	3250
739	9215	3238
740	9228	3225
741	9239	3212
742	9251	3200
743	9263	3187
744	9276	3175
745	9289	3162
746	9302	3150
747	9313	3137
748	9325	3125
749	9339	3113
750	9352	3101
751	9367	3089
752	9380	3076
753	9393	3064
754	9407	3052
755	9421	3040
756	9433	3028
757	9444	3015
758	9458	3003
759	9470	2990
760	9482	2978
761	9494	2965
762	9506	2952
763	9518	2940
764	9531	2927
765	9542	2915
766	9554	2902
767	9566	2889
768	9578	2877
769	9590	2864
770	9602	2852
771	9614	2839
772	9627	2827
773	9640	2814
774	9654	2802
775	9666	2790
776	9678	2777
777	9690	2765
778	9703	2752
779	9716	2740
780	9728	2728
781	9740	2715
782	9753	2703
783	9765	2690
784	9779	2678
785	9791	2666
786	9805	2653
787	9817	2641
788	9831	2629
789	9844	2616
790	9857	2604
791	9868	2591
792	9880	2579
793	9892	2566
794	9904	2554
795	9917	2541
796	9929	2529
797	9942	2516
798	9954	2504
799	9967	2491
800	9979	2479
801	9990	2466
802	10003	2454
803	10015	2441
804	10028	2429
805	10039	2416
806	10052	2404
807	10064	2391
808	10076	2379
809	10088	2366
810	10102	2354
811	10115	2342
812	10129	2329
813	10141	2317
814	10154	2304
815	10168	2292
816	10181	2280
817	10192	2267
818	10204	2255
819	10217	2242
820	10231	2230
821	10243	2218
822	10256	2205
823	10268	2193
824	10281	2180
825	10294	2168
826	10306	2156
827	10320	2143
828	10334	2131
829	10346	2119
830	10359	2106
831	10370	2093
832	10381	2081
833	10392	2068
834	10402	2055
835	10414	2043
836	10425	2030
837	10434	2017
838	10446	2004
839	10456	1991
840	10466	1978
841	10477	1966
842	10488	1953
843	10498	1940
844	10512	1928
845	10521	1915
846	10531	1902
847	10542	1889
848	10553	1877
849	10564	1864
850	10575	1851
851	10588	1839
852	10600	1826
853	10611	1814
854	10622	1801
855	10632	1788
856	10643	1776
857	10654	1763
858	10663	1750
859	10674	1737
860	10684	1724
861	10695	1712
862	10706	1699
863	10716	1686
864	10727	1674
865	10737	1661
866	10748	1648
867	10759	1636
868	10769	1623
869	10780	1610
870	10792	1598
871	10804	1585
872	10815	1573
873	10826	1560
874	10837	1548
875	10847	1535
876	10859	1523
877	10870	1510
878	10884	1498
879	10897	1485
880	10910	1473
881	10922	1461
882	10932	1448
883	10945	1436
884	10959	1424
885	10973	1411
886	10987	1399
887	10999	1387
888	11011	1374
889	11022	1362
890	11033	1349
891	11046	1337
892	11058	1325
893	11069	1312
894	11078	1299
895	11090	1287
896	11102	1274
897	11111	1262
898	11122	1249
899	11132	1236
900	11141	1224
901	11152	1211
902	11163	1199
903	11174	1186
904	11185	1174
905	11195	1161
906	11207	1149
907	11220	1136
908	11232	1124
909	11243	1112
910	11255	1099
911	11268	1087
912	11281	1074
913	11295	1062
914	11307	1050
915	11320	1038
916	11332	1025
917	11345	1013
918	11357	1001
919	11370	988
920	11383	976
921	11396	964
922	11408	951
923	11421	939
924	11433	927
925	11446	914
926	11457	902
927	11470	889
928	11482	877
929	11492	864
930	11503	852
931	11513	840
932	11525	827
933	11537	815
934	11548	802
935	11558	790
936	11569	777
937	11580	765
938	11591	752
939	11602	740
940	11613	728
941	11623	715
942	11634	703
943	11644	690
944	11654	678
945	11665	665
946	11675	653
947	11685	640
948	11696	628
949	11706	616
950	11717	603
951	11728	591
952	11738	578
953	11749	566
954	11759	554
955	11768	541
956	11779	529
957	11789	516
958	11800	504
959	11811	492
960	11821	479
961	11833	467
962	11844	455
963	11853	442
964	11865	430
965	11875	417
966	11885	405
967	11898	393
968	11909	380
969	11918	368
970	11929	356
971	11939	343
972	11951	331
973	11962	319
974	11974	307
975	11984	294
976	11995	282
977	12006	270
978	12016	257
979	12027	245
980	12037	233
981	12049	220
982	12061	208
983	12072	196
984	12082	183
985	12093	171
986	12103	159
987	12114	147
988	12126	134
989	12136	122
990	12147	110
991	12157	98
992	12167	85
993	12177	73
994	12187	61
995	12199	48
996	12209	36
997	12220	24
998	12231	12
999	12242	0
